preco,endereco,detalhe_localizacao,caracteristicas,descricao
R$ 501.650,"Rua Professor João Cândido Falleiros, 4791","Residencial São Vicente, Franca","146 m² tot.
3 quartos
3 ban.
2 vagas","Remaxparimob#61kt3 - Excelente oportunidade! Não perca a chance de conhecer esse imóvel. - Casa Dormitórios e garagem para carros coberto Esta casa oferece uma combinação perfeita de conforto e praticidade, ideal para quem busca um lar acolhedor em uma localização privilegiada, além de espaço gourmet para receber amigos e familiares. Com dormitórios bem distribuídos, sendo deles suíte, esta residência oferece espaço e funcionalidade para toda a família. Principais Características: Dormitórios: Local perfeito com amplos quartos, bem iluminados, ideais para acomodar familiares ou criar um espaço de trabalho tranquilo Área gourmet no fundo do imóvel, banheiro social e despensa. Espaço ideal para receber visitas ou desfrutar de momentos de relaxamento em família. Lavanderia funcional: Espaço ideal para cuidar das roupas e da limpeza da casa."
R$ 124.900,"Rua Olívio Campanari, 4801","Residencial São Vicente, Franca","44 m² tot.
2 quartos
1 banheiro
1 vaga","Remaxparimob#yjpjp - Incrível investimento! Localização e condições imperdíveis. - Apartamento Conjunto Habitacional Parque Wilson Presoto no bairro São Vicente, com uma área útil de, m, localizado na Rua Olivio Campanari, Bloco E apartamento, rua atras do Samaritano e supermercado Tonin. Localização excelente que dá acesso a vários pontos da cidade, proporcionando um ambiente perfeito para quem busca conforto e praticidade. Sua proximidade com supermercados, farmácias, escolas e hospitais oferece conveniência e praticidade no dia a dia. Condomínio com portaria horas, incluso limpeza e salão de festas. Características Principais: Dois Dormitórios: O imóvel dispõe de dois dormitórios, proporcionando comodidade. Banheiro Social: Banheiro social para atender às necessidades da família. Sala de Estar e Jantar conjugadas: Espaço ideal para criar um ambiente acolheder, sala de estar e jantar ampla e convidativa, perfeita para receber amigos e familiares. Cozinha funcional: Cozinha com armários, complementa o espaço, além de um espaço para despensa de alimentos. Lavanderia Privativa: O apartamento oferece uma lavanderia privativa, garantindo praticidade no dia a dia. Localização Estratégica: Com uma localização privilegiada, este imóvel é uma excelente oportunidade para quem busca conveniência e praticidade. A proximidade com diversos serviços essenciais torna a vida cotidiana mais fácil e agradável, além da localização ser de fácil acesso à varios pontos da cidade. Não perca a oportunidade de adquirir este imóvel que combina localização estratégica e praticidade. Agende uma visita e encante-se com tudo o que este apartamento tem a oferecer!"
R$ 395.000,"Rua Zeferino Costa, 630","Vila Santa Terezinha, Franca","155 m² tot.
2 quartos
1 banheiro
2 vagas","Remaxparimob#7W5ah - Ideal para você! Um imóvel que oferece conforto e praticidade. - Casa com Dormitórios, sendo suíte com closet e garagem para carros cobertos Esta casa oferece uma combinação perfeita de conforto e praticidade, ideal para quem busca um lar acolhedor em uma localização privilegiada, além de espaço gourmet no fundo do imóvel para receber amigos e familiares. Com dormitórios bem distribuídos, sendo deles suíte com closet, esta residência oferece espaço e funcionalidade para toda a família. Principais Características: Dormitórios: Local perfeito com amplos quartos sendo deles suíte com closet, bem iluminados, ideais para acomodar familiares ou criar um espaço de trabalho tranquilo, Sala de jantar e estar: Espaço moderno, ideal para receber visitas ou desfrutar de momentos de relaxamento em família. Lavanderia ampla e funcional: Espaço ideal para cuidar das roupas e da limpeza da casa. Área gourmet no fundo do imóvel com banheiro social e dispensa."
R$ 210.000,"Rua Desembargador Godofredo José Marques Mauro, Lt 01 Q09","Recanto Elimar, Franca",203 m² tot.,"Remaxparimob#9ny5Y - Para quem busca qualidade! Este imóvel é a escolha perfeita. - Terreno plano de esquina em bairro tradicional com possibilidade de uso residencial tanto comercial. De fácil acesso e perto da faculdade Unifram e com bom preço. Esse terreno é uma ótima oportunidade, especialmente por estar em um bairro tradicional, de fácil acesso, pois está perto da rodovia Ronan Rocha e de excelente anel viário e boas rodovias, possibilitando a entrada e saída do bairro com tranquilidade e acessibilidade. O bairro é muito seguro, com boa vizinhança e com baixíssimo índice de ocorrência de roubo e invasão. Está perto de pontos estratégicos, como Faculdade Unifran, Escola Municipal e Estadual de ensino Fundamental e Médio, Hospital Estadual de Franca, Clube de Recreação Castelinho, Centro Comercial São Vicente Mall, com Academia de Ginastica, Beach Tenis, Pet Shop, Casa Agropecuária, Bons Supermercados, Farmácias, Posto de Abastecimento, etc. A flexibilidade de uso tanto para fins residenciais quanto comerciais faz com que esse terreno seja um grande atrativo e uma grande oportunidade para quem quer fazer um bom investimento, pois é um bairro com grande valorização, ideal para construção da sua sonhada moradia ou para montar seu ponto comercial. É um grande atrativo para diferentes tipos de compradores ou investidores, lembrando que este setor da cidade está em pleno crescimento de desenvolvimento. Aproveite essa oportunidade de adquirir esse terreno, pois está com uma boa condição de mercado. Entre em contato conosco pois teremos o maior prazer em atendê-lo."
R$ 300.000,"Rua Manoel Custódio da Silveira, 511","Jardim Vera Cruz III, Franca","132 m² tot.
1 banheiro","Remaxparimob#tl8ih - Ideal para você! Um imóvel que oferece conforto e praticidade. - Casa aconchegante em bairro bem localizado Jardim Vera Cruz iii - Valor R$., Apresentamos uma excelente oportunidade para quem busca conforto, praticidade e uma localização privilegiada. Esta charmosa casa está situada em um bairro de padrão médio, tranquilo e familiar, ideal para quem valoriza qualidade de vida sem abrir mão da conveniência do dia a dia. O imóvel conta com ambientes bem distribuídos, proporcionando conforto e funcionalidade para toda a família. Com sala espaçosa, quartos bem ventilados, cozinha prática e área de serviço, a casa oferece uma estrutura que atende perfeitamente às necessidades de quem busca morar bem. Além dessas qualidades, ela permite uma ampliação e mudanças conforme sua necessidade. Um dos grandes diferenciais desta propriedade é a sua localização. A poucos minutos de caminhada, é possível encontrar farmácias, supermercados, escolas, posto médico, academias e diversos comércios locais. Tudo o que você precisa está ao seu alcance, facilitando a rotina e garantindo mais comodidade para o dia a dia. Além disso, o bairro conta com boas opções de transporte público e fácil acesso às principais vias da região, o que torna a mobilidade ainda mais prática para quem trabalha ou estuda em outras áreas da cidade. Ideal para famílias, casais ou até mesmo investidores, esta casa representa uma ótima relação custo-benefício em uma área com grande potencial de valorização. Não perca a chance de conhecer este imóvel. Ele pode ser exatamente o que você está procurando!"
R$ 781.750,"Rua Antônio Totoli, 1140","São Joaquim, Franca","187 m² tot.
3 quartos
3 ban.
2 vagas","Remaxparimob#81Q27 - Para quem busca qualidade! Este imóvel é a escolha perfeita. - Casa com Dormitórios e garagem para carros cobertos. Esta casa oferece uma combinação perfeita de conforto e praticidade, ideal para quem busca um lar acolhedor em uma localização privilegiada, além de espaço gourmet para receber amigos e familiares no fundo do imóvel. Com dormitórios bem distribuídos, sendo deles suíte, esta residência oferece espaço e funcionalidade para toda a família. Principais Características: Dormitórios: Local perfeito com amplos quartos, bem iluminados, ideais para acomodar familiares ou criar um espaço de trabalho tranquilo Área gourmet no fundo do imóvel, banheiro social e despensa. Espaço ideal para receber visitas ou desfrutar de momentos de relaxamento em família. Lavanderia funcional: Espaço ideal para cuidar das roupas e da limpeza da casa com um cômodo com banheiro podendo ser usado para um escritório. Agende uma visita e conheça seu imóvel!"
R$ 421.750,"Rua Izabel Iliza de Lima, 871","São Joaquim, Franca","212 m² tot.
3 quartos
3 ban.
2 vagas","Remaxparimob#Z3H0E - Ideal para você! Um imóvel que oferece conforto e praticidade. - Casa Dormitórios e garagem para carros coberto Esta casa oferece uma combinação perfeita de conforto e praticidade, ideal para quem busca um lar acolhedor em uma localização privilegiada, além de espaço gourmet para receber amigos e familiares. Com dormitórios bem distribuídos, sendo deles suíte, esta residência oferece espaço e funcionalidade para toda a família. Principais Características: Dormitórios: Local perfeito com amplos quartos, bem iluminados, ideais para acomodar familiares ou criar um espaço de trabalho tranquilo Área gourmet no fundo do imóvel, banheiro social, sala de jantar e estar: Espaço moderno, ideal para receber visitas ou desfrutar de momentos de relaxamento em família. Lavanderia ampla e funcional: Espaço ideal para cuidar das roupas e da limpeza da casa. Escritório no fundo"
R$ 250.000,"Rua Honório de Lima, 1889","Jardim Aeroporto III, Franca","134 m² tot.
4 quartos
2 ban.
3 vagas","Remaxparimob#V9B7X - Ideal para você! Um imóvel que oferece conforto e praticidade. - Casa à venda no Jardim Aeroporto iii, situada na parte alta do bairro, em uma localização privilegiada, na rua da lotérica. Esse imóvel oferece muito mais do que apenas um espaço para morar: ele proporciona conforto, praticidade e acesso facilitado a diversos serviços essenciais. A proximidade com a upa do bairro garante assistência médica rápida quando necessário, enquanto o Supermercado Tiãozinho facilita o dia a dia com compras sempre acessíveis. Além disso, o Depósito de Material de Construção HidroSilva está a poucos metros, ideal para quem deseja realizar reformas ou melhorias no imóvel. O bairro conta ainda com uma variedade de comércios, como padarias, farmácias, academias, restaurantes e lojas de diferentes segmentos, tornando a rotina ainda mais prática e funcional. O imóvel possui uma área total de m, com, m de área construída, bem distribuída para oferecer conforto e praticidade. A garagem é ampla, comportando até três carros pequenos ou dois carros grandes. Para quem gosta de reunir amigos e familiares, a casa conta com uma excelente área de churrasco, totalmente equipada. A sala de estar é bem iluminada e conta com uma área de claridade, garantindo ventilação natural e frescor ao ambiente. A cozinha já possui armários planejados e dispõe de um amplo espaço para acomodar a mesa de jantar com conforto. A residência oferece quatro quartos bem distribuídos, sendo um deles uma suíte, garantindo privacidade e comodidade. A proprietária tem interesse na troca por imóvel de igual ou menor valor nos bairros Vila São Sebastião, Dermínio e região. Não perca tempo, entre em contato e agende sua visita!"
R$ 440.000,"Rua Jonas Rodrigues de Moura, 1795","Jardim Barão, Franca","112 m² tot.
2 quartos
2 ban.
2 vagas","Remaxparimob#ab7ur - Perfeito para morar bem! Ambientes amplos e bem distribuídos. - Casa com varanda em meio à natureza, construída em terreno amplo e arborizado com Dormitórios e garagem para carros descobertos voltada para o sol da manhã. Esta casa oferece uma combinação perfeita de conforto e praticidade com espaços integrados, ideal para quem busca um lar acolhedor em uma localização privilegiada, além de um amplo terreno que possibilita ampliação da construção. Com dormitórios bem distribuídos, esta residência oferece espaço e funcionalidade para toda a família. Principais Características: Dormitórios: Local perfeito com amplos quartos, bem iluminados, ideais para acomodar familiares ou criar um espaço de trabalho tranquilo Varanda: Amplo espaço com churrasqueira e banheiro para uso social ideal receber os amigos e familiares. Lavanderia: Espaço para cuidar das roupas e da limpeza da casa. Garagem: Para carros sendo coberta com pergolado de madeira e buganville florida. Agende uma visita e conheça seu imóvel!"
R$ 536.750,"Rua Ricardo Mercuri, Qd 07","Franca, São Paulo",359 m² tot.,"Remaxparimob#epf3K - Uma joia do mercado imobiliário! Não deixe essa oportunidade passar. - O Villa Piemonte é um grande sucesso. Um novo residencial que nasce com o status de condomínio conceito, até então inédito para a cidade. Um lugar bem planejado com Clube Exclusivo, fiação subterrânea, pista de cooper, áreas de lazer bem definidas e localização privilegiada Quadra de tênis, quadra poliesportiva, duas quadras de beach tênis, Mercadinho. Conheça Em detalhes o Villa Piemonte e comece a planejar o seu futuro em um lugar pensado especialmente para você e a sua família viverem os melhores momentos da vida. Um terreno exclusivo com vista permanente."
R$ 340.000,Endereço não informado,"Prolongamento Jardim Ângela Rosa, Franca","125 m² tot.
2 quartos
2 ban.
2 vagas","2 Dormitórios sendo 1 Suíte. Sala de tv e Jantar Integrados. Cozinha c/Armários. Banheiros Amplos c/Armários. Lavanderia Coberta. Garagem para 2 Carros. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: 0dqqwxftoJwhBgiq"
R$ 780.000,Endereço não informado,"Jardim Barão, Franca","270 m² tot.
3 quartos
3 ban.
4 vagas","Estuda 50% de Troca. 3 Dormitórios sendo 1 Suíte. Sala de tv Ampla. Cozinha c/ Armários e Copa. Banheiros c/ Armários e Blindex. Lavanderia Coberta. Varanda Gourmet c/ Banheiro. Garagem para 4 Carros. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: cnph70WtRd05a2qj"
R$ 670.000,Av Alfredo Tosi,"Núcleo Agrícola Alpha, Franca","85 m² tot.
3 quartos
2 ban.
2 vagas","Vende ou aluga apartamento N residencial paraíso, região sul. Próximo ao poli esportivo, universidade de franca E avenida paulo vi."
R$ 690.000,Rua Artur Cândido de Oliveira 1201,"Franca, São Paulo","230 m² tot.
3 quartos
3 ban.
2 vagas","03 dormitórios, sendo 01 suíte com Hidromassagem. Sala de tv, Janta e Cozinha Integradas. Banheiro social. Lavanderia. Espaço Gourmet com churrasqueira e forno. 02 Vagas cobertas. Aquecimento Solar"
R$ 2.600.000,Franca 541,"Núcleo Agrícola Alpha, Franca","360 m² tot.
3 quartos
4 ban.
4 vagas","Belíssima casa de condomínio à venda, localizada na cidade de Franca, no bairro Núcleo Agrícola Alpha. Será entregue de porteira fechada (mobiliada). O imóvel tem 3 quartos, sendo 3 suítes, possui 4 banheiros, 2 salas e 4 vagas de garagem. Área total de 360m² e 220m² de área útil. Não perca sua chance de conhecer este imóvel incrível em uma das melhores regiões de Franca. Possui todo o conforto e segurança que você e sua família precisam!"
R$ 215.000,Franca 3255,"Vila Santa Cruz, Franca","49 m² tot.
2 quartos
1 banheiro
1 vaga","Vende-se apartamento franca garden. - 2 dormitórios, ambos com guarda roupas planejados. - Sala. - Cozinha rica em armários. - Lavanderia com pedra estendida e armários. - Banheiro social com box e armários planejados. - Apartamento todo em porcelanato. - Uma de garagem"
R$ 350.000,Endereço não informado,"Franca, São Paulo","86 m² tot.
3 quartos
2 ban.
2 vagas",Apartamento novo à venda no Jardim Botânico&#xD; Cozinha e sala em conceito aberto&#xD; 3 dormitórios sendo 1 suíte&#xD; Fino acabamento - 31/08/2025
R$ 360.000,Endereço não informado,"Franca, São Paulo","125 m² tot.
3 quartos
2 ban.
2 vagas","3 Dormitórios sendo 1 Suíte. Sala de tv e Jantar. Cozinha c/ Armários. Banheiro Social c/ Armários e Blindex. Lavanderia Coberta. Garagem para 2 Carros. Área Gourmet c/ Churrasqueira e Pia. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: ouQkkY2evFtgs2Yx"
R$ 550.000,Endereço não informado,"Jardim Noêmia, Franca","491 m² tot.
4 quartos
4 ban.
2 vagas",Cobertura noemia! &#xD; &#xD; 162m2 de área construída( dentro do ap) &#xD; Área da coberta. 160 m2&#xD; &#xD; 4 quartos *sendo 3 suítes &#xD; 2 quartos com closet e com armáros &#xD; 1 banheiro social&#xD; 1 sala ampla e com sacada&#xD; cozinha ampla com sacada e armáros&#xD; lavadeira&#xD; cobertura com churrasqueira e pia &#xD; Ducha&#xD; Espaço para ofurô&#xD; &#xD; Garagem para 2 carros(não é coberta) - 31/08/2025
R$ 69.000,Rua Hercolino de Paula (Tio Herco) 500,"Jardim São Francisco, Franca",160 m² tot.,Preço de Oportunidade. Terreno 8x20. Documentação Ok. Aceita Financiamento
R$ 280.000,Rua Frei Rosalvo de Miranda 4950,"Villa Santa Gianna, Franca","65 m² tot.
2 quartos
2 ban.
2 vagas","65 M² 02 dormitórios, sendo 1 suíte. Sala, cozinha com armário e coifa. Banheiros com armários. Lavanderia. Churrasqueira e área de claridade. 02 Vagas de Garagem gaveta com portão individual. Ótima localização"
R$ 234.999,Endereço não informado,"Franca, São Paulo","61 m² tot.
2 quartos
2 ban.","Apartamentos com fino acabamento &#xD; &#xD; Jardim adelinha&#xD; &#xD; &#xD; Lindo apartamento &#xD; 2 dormitórios, sendo 1 suíte&#xD; 1 vaga de garagem&#xD; sala e cozinha integrados&#xD; excelente acabamento em porcelanato&#xD; 61 metros térreo e &#xD; 69 metros sacada &#xD; projeto moderno &#xD; pias esculpidas&#xD; móveis planejados - 31/08/2025"
R$ 299.000,Rua dos Jasmins 1010,"Franca, São Paulo","79 m² tot.
2 quartos
2 ban.
1 vaga",79m2. 2 dormitórios sendo 1 suíte. Sacada nos dois dormitórios. Lavanderia. 1 vaga de garagem
R$ 750.000,Franca 900,"Cidade Nova, Franca","250 m² tot.
5 quartos
5 ban.
2 vagas","Casa com a Venda Cidade Nova. 05 dormitórios, sendo 3 com armários planejados e 3 suítes. Sala de estar ampla e aconchegante. Sala de jantar. Cozinha com armários planejados. Banheiro social com box. Área de claridade. Área de serviço. Edícula nos fundos. Churrasqueira para momentos de lazer. Garagem para 2 veículos pequenos com portão eletrônico. Interfone com câmera. Sistema de câmeras de segurança instalado. Cerca elétrica para maior proteção. Pisos de madeira em ótimo estado"
R$ 150.000,Endereço não informado,"Jardim Aeroporto II, Franca",250 m² tot.,"Terreno 250 m2 ( 10x25) Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: nNzoUqawny3UdGjJ"
R$ 2.300.000,Endereço não informado,"Franca, São Paulo","216 m² tot.
3 quartos
4 ban.","Vende-se Condomínio Piemonte – Casa com 3 suítes, sala de tv, sala de jantar, sala de visita, lavabo, cozinha planejada com torre de fornos, geladeira, lava-louças e fogão de indução, lavanderia, despensa com armários, roupeiro no corredor, rico em armários, suíte master com closet e bancada dupla, banheiros com box instalados, janelas automáticas nos dormitórios, área gourmet com ilha, fogão Invitta e mesa rústica acoplada, toldo automático, piscina em pedra Hijau com cascata e hidromassagem, aquecimento solar, garagem coberta para 2 carros, ponto para carro elétrico, paisagismo formado com irrigação automática, piso de alto padrão, portão eletrônico, excelente acabamento, construção moderna de primeira linha, 360m² de terreno, 216m² de construção, localização privilegiada em condomínio fechado com segurança e lazer completo."
R$ 340.000,Endereço não informado,"Jardim Pulicano, Franca","10 m² tot.
2 quartos
3 ban.
2 vagas","A casa dos seus sonhos no jardim pulicano! Características imperdíveis: 02 dormitórios, sendo 1 suíte super aconchegante. 02 banheiros modernos e funcionais. Cozinha integrada com sala de estar para momentos especiais. Área gourmet ampla para curtir churrascos com a família e amigos! Quintal espaçoso e lavanderia independente. 2 vagas de garagem cobertas para sua comodidade. Destaques: Localização privilegiada no Jardim Pulicano, com espaço, conforto e toda a estrutura que você merece! Agende já sua visita e venha conhecer esse lar incrível! Não perca essa oportunidade!"
R$ 500.000,Endereço não informado,"Centro, Franca","120 m² tot.
3 quartos
2 ban.
2 vagas","Apartamento com localização estratégica, ideal para quem busca conforto, segurança e praticidade no dia a dia. &#xD; &#xD; 3 Dormitórios, sendo 1 suíte com armários personalizados&#xD; Cozinha planejada &#xD; Sala ampla com 3 ambientes&#xD; Lavanderia e Despensa &#xD; Garagem para 2 veículos&#xD; &#xD; Portaria 24h e zelador &#xD; 2 Elevadores&#xD; Salão de festas&#xD; Quadra poliesportiva&#xD; Projeto para Playground e Espaço Fitness - 31/08/2025"
R$ 650.000,Endereço não informado,"Núcleo Agrícola Alpha, Franca","127 m² tot.
3 quartos
2 ban.
1 vaga","Vende-se Condomínio Sou – Apartamento novo e sofisticado com 03 dormitórios, sendo 1 suíte, todos com armários planejados de alto padrão, ampla sala de tv integrada à sala de jantar, cozinha planejada, banheiro social, lavanderia, varanda e 2 vagas de garagem. Condomínio moderno, fechado e seguro, com portaria 24h, elevadores e lazer completo: piscinas adulto e infantil, salão de festas, pub grill, churrasqueira, sala de estudos, academia equipada, play kids, playground, movie games, quadra, lavanderia coletiva e car wash. Diferenciais exclusivos: medidores individuais para energia, água e gás, sensores de presença nas áreas comuns, wi-fi nas áreas de lazer, entradas independentes para moradores, visitantes e serviços, áreas de lazer entregues equipadas, decoradas e climatizadas, esquadrias integradas com venezianas deslizantes nos dormitórios, vaga de visitantes, ponto para carga de carro elétrico, aquecimento a gás, ambientes internos de lazer climatizados, automação nas áreas comuns e infraestrutura completa para instalação de splits na sala e suíte. Localização privilegiada na Zona Sul, próximo ao Batalhão de Polícia e ao Poliesportivo."
R$ 1.280.000,Endereço não informado,"Franca, São Paulo","200 m² tot.
3 quartos
3 ban.
4 vagas","Residência Espetacular / Projeto Moderno e Funcional / Totalmente Equipada. 3 Dormitórios sendo 1 Suíte Master c/ Closet (Todos Quartos c/ Armários) Salas Integradas à Cozinha e Área Gourmet. Piscina Aquecida c/ Cascata. Cozinha Rica em Armários, c/ Cooktop, Coifa e Churrasqueira. Acabamento Impecável e Materiais de Altíssimo Padrão. Lavabo e Lavanderia. Garagem para até 4 Veiculos. Banheiros c/ Armários, Blindex e Espelhos. Pontos de tv e Ar-Condicionado (todos cômodos) / Pontos de Internet (Cabeados) Aquec. Solar c/ Boiler / Projeto Luminotécnico. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. . br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: iscwb64fqdbzyw67"
R$ 660.000,Rua Ana Maria Sola Telini 250,"Prolongamento Jardim Ângela Rosa, Franca","250 m² tot.
3 quartos
2 ban.
3 vagas","3 dormitórios, incluindo 1 suíte com closet. Sala ampla. Cozinha modulada. Banheiro social. Sistema de alarme, cerca elétrica e circuito interno de câmeras. Área gourmet. Garagem para 2 caminhonetes e um carro. Com uma área total de 250m² e uma área construída de 201m². Artefatto imóveis. creci: Ver dados-J"
R$ 350.000,Rua Rio Janundá 1233,"Residencial Amazonas, Franca","87 m² tot.
2 quartos
2 ban.
2 vagas",2 quarto sendo um suite. Sala copa. Cozinha. Área gourmet. Área de serviço. 2 vagas de garagem. 87 mt de construção
R$ 990.000,rua Atílio salmazo,"São José, Franca","380 m² tot.
3 quartos
5 ban.
5 vagas","Segue um modelo de anúncio atrativo para redes sociais e portais imobiliários: - Sobrado Estilo Colonial – São José / Santos Agostinho. Terreno amplo: 400 m² Construção sólida: 250 m² 3 suítes, sendo 2 com closet. Área de lazer completa com piscina grande. Detalhes ricos em madeira – charme colonial. Casa com recuo e jardim na frente. Localização excelente, vizinhança tranquila e valorizada. Somente venda – oportunidade única! Precisa de pintura, ideal para personalizar ao seu gosto. Ótimo preço para vender rápido! Entre em contato agora e agende uma visita. Ver dados"
R$ 2.470.000,Endereço não informado,"Jardim Noêmia, Franca","424 m² tot.
3 quartos
3 ban.
4 vagas","Lindo Sobrado no Condomínio Residencial davila, &#xD; Exclusivo - Ultima casa! &#xD; A última Casa dentro de Condomínio Residencial, condomínio já formado e finalizado, localizado na avenida principal do Jardim Noemia, a 600 metros do novo Hospital Estadual de Franca. &#xD; Todas as outras casas estão ocupadas pelos proprietários, muito exclusivo, para famílias que buscam conforto, privacidade e segurança, cerca elétrica em todo o perímetro e câmeras de vigilância. &#xD; Terreno de 424 m² e casa com 256m² de área construída em dois pavimentos com muita qualidade estrutural e acabamentos impecáveis, área de lazer privada medindo de 17, 0m x 7, 0m. Já possui habite-se e as documentações sem restrições. &#xD; O pavimento térreo é composto de cozinha com armários modernos, práticos e de fino acabamento, integrada com a sala de jantar e varanda gourmet, ampla sala de estar, escritório, sala para home theater, área de serviço, despensa com prateleiras, lavabo e garagem coberta para 3 carros. &#xD; O segundo pavimento é composto de 03 (três) suítes amplas, banheiros com acabamentos claros e de luxo, sendo uma suíte com closet integrado e varanda. &#xD; Possui Boiler de 300litros com aquecimento solar, janelas e fechamentos em pvc sobre medida com vidros Blindex, infraestrutura pronta para instalar ares-condicionados em todos os ambientes e base para instalação de sistema de placas fotovoltaicos. &#xD; Custo baixo de condomínio, com Energia e água individualizadas. &#xD; &#xD; preço de venda = R$ 2. 470. 000, 00 &#xD; Aceita-se permuta no valor máximo de R$ 500mil, sobre avaliação. &#xD; Tire suas dúvidas e agende uma visita! - 31/08/2025"
R$ 450.000,Endereço não informado,"Franca Pólo Club, Franca","99999 m² tot.
3 quartos
2 ban.
2 vagas","Vende-se – Jardim Polo | Jd. Polo – Franca/sp. Casa aconchegante, funcional e pronta para morar! Características do imóvel: 77 m² de área construída. 3 quartos. 1 suíte com box e espelhos. 1 banheiro social com box e espelhos. Sala de estar. Cozinha com planejados e cooktop. Lavanderia com armários. Garagem para 2 carros. Portão eletrônico. Localização tranquila e valorizada. Para mais informações, entre em contato: (16) Ver dados | (16) Ver dados. Rua Tiradentes, 1870 – Centro – Franca/sp"
R$ 400.000,Endereço não informado,"Residencial Paraíso, Franca","100 m² tot.
3 quartos
2 ban.
1 vaga","Apartamento no Residencial Paraíso de 100 m2. Com: &#xD; 3 dormitórios sendo 1 suíte, &#xD; sala, copa, cozinha, lavanderia separada, &#xD; sacada em arco com churrasqueira, &#xD; 1 vaga de garagem. último andar. &#xD; &#xD; Fale conosco tire suas duvidas e agende uma visita! - 31/08/2025"
R$ 279.000,Franca 702,"Vila Nicácio, Franca","50 m² tot.
2 quartos
1 banheiro
1 vaga","Livve - vitta. Apartamento exclusivo, com armários planejados na cozinha e banheiro. Uma vista incrível da cidade! Fácil acesso para Av. Hélio Palermo. Entre em contato e agende uma visita!"
R$ 850.000,Endereço não informado,"Parque Santa Hilda, Franca","180 m² tot.
3 quartos
3 ban.",Linda casa no Primo Meneghetti ll&#xD; 3 Quartos sendo um suíte &#xD; Sala tv&#xD; Sala de jantar &#xD; Cozinha &#xD; Banheiro social &#xD; Lavabo&#xD; Piscina &#xD; Lavanderia &#xD; Garagem para 2 carros. - 31/08/2025
R$ 300.000,Rua Nasira da Silva Duarte 2800,"Franca, São Paulo","125 m² tot.
2 quartos
2 ban.
2 vagas",125 metros de terreno. 80 metros construída. pintura nova. garagem para dois carros. sala ampla. cozinha. 2 quartos sendo um suíte. banheiro social. área de serviço
R$ 279.900,Endereço não informado,"Residencial Colina do Espraiado, Franca","65 m² tot.
2 quartos
2 ban.
2 vagas","Apartamento á venda &#xD; Colina do espraiado &#xD; &#xD; Amplo apartamento &#xD; proximo a avenida são vicente &#xD; &#xD; 2 dormitório, sendo uma suite &#xD; Cozinha com planejados &#xD; sala ampla &#xD; 2 vagas de garagem - 31/08/2025"
R$ 1.280.000,Rua Olga Baruta,"Franca, São Paulo","250 m² tot.
3 quartos
3 ban.
3 vagas","Linda Casa à Venda no Residencial Tellini Francasp. Preço R 1. 280. 000, 00. Descrição. Apresentamos esta residência incrível e moderna no Residencial Tellini, um dos bairros mais valorizados de Francasp. Localizada em uma região segura e com excelente vizinhança, esta casa foi projetada para oferecer conforto, design contemporâneo e funcionalidade. Características do imóvel. Terreno de 250 m² e 200 m² de área construída. Área gourmet perfeita para receber amigos e familiares. Garagem para até 3 veículos grandes. Piscina com cascata, hidromassagem e aquecimento solar. Sistema de aquecimento solar em toda a casa. Casa totalmente automatizada. 3 quartos, sendo uma suíte master com closet. Cozinha moderna integrada à sala de estar e copa. Escritório privativo, lavabo, lavanderia e despensa. Vizinhos já definidos, garantindo tranquilidade e segurança. Diferenciais. Esta é uma oportunidade única para quem busca qualidade de vida, tecnologia e sofisticação no mesmo lugar. Agende já sua visita e conheça todos os detalhes deste imóvel exclusivo."
R$ 600.000,Endereço não informado,"Residencial Palermo, Franca","200 m² tot.
3 quartos
2 ban.
2 vagas","Casa a venda no bairro Residencial Palermo&#xD; &#xD; 200 m² de terreno;&#xD; 159 m² de construção;&#xD; 3 dormitórios, sendo 1 suíte;&#xD; Sala e cozinha em ambientes integrados;&#xD; Cozinha com armários;&#xD; Armários nos banheiros;&#xD; 2 vagas de garagem;&#xD; Churrasqueira; - 31/08/2025"
